SALE_TYPE,SOLD_DATE,PROPERTY_TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT_OPEN_HOUSE_START_TIME,NEXT_OPEN_HOUSE_END_TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,532 Natoma St,San Francisco,CA,94103,2850000,4,4,South of Market,3440,1875,1925,25,828,,Active,,,http://www.redfin.com/CA/San-Francisco/532-Natoma-St-94103/home/21999981,San Francisco MLS,457323,N,Y,37.7796905,-122.4086062
MLS Listing,,Condo/Co-op,690 Market St #902,San Francisco,CA,94114,2895000,2,3,Financial District,2490,,2016,129,1163,3129,Active,,,http://www.redfin.com/CA/San-Francisco/690-Market-St-94104/unit-902/home/21967251,San Francisco MLS,453568,N,Y,37.7883046,-122.4032778
MLS Listing,,Single Family Residential,20 Villa Ter,San Francisco,CA,94114,2908000,4,3.5,Clarendon Heights,2698,4129,1915,10,1078,,Active,,,http://www.redfin.com/CA/San-Francisco/20-Villa-Ter-94114/home/972706,San Francisco MLS,458019,N,Y,37.7593696,-122.4470183
MLS Listing,,Condo/Co-op,170 Pacific #4,San Francisco,CA,94111,2950000,3,3,Financial District,2255,,,35,1308,1028,Active,,,http://www.redfin.com/CA/San-Francisco/170-Pacific-Ave-94111/unit-4/home/1197828,San Francisco MLS,456935,N,Y,37.798253,-122.399172
MLS Listing,,Single Family Residential,1146 Florida St,San Francisco,CA,94110,2950000,3,3.5,Inner Mission,2954,2500,,35,999,,Active,,,http://www.redfin.com/CA/San-Francisco/1146-Florida-St-94110/home/965706,San Francisco MLS,456932,N,Y,37.7535669,-122.410423
MLS Listing,,Single Family Residential,5735 California St,San Francisco,CA,94121,2975000,4,3.5,Lake,3185,2500,1916,10,934,,Active,,,http://www.redfin.com/CA/San-Francisco/5735-California-St-94121/home/1409791,San Francisco MLS,458055,N,Y,37.7839459,-122.4792092
MLS Listing,,Condo/Co-op,338 Main St Unit D35A,San Francisco,CA,94105,2995000,2,2,South Beach,1572,,2016,82,1905,1091,Active,,,http://www.redfin.com/CA/San-Francisco/338-Main-St-94105/unit-D35A/home/113220154,San Francisco MLS,455201,N,Y,37.7888208,-122.3912963
MLS Listing,,Condo/Co-op,188 Minna St Unit 29C,San Francisco,CA,94105,2995000,2,2.5,Yerba Buena,1670,,2005,341,1793,2326,Active,,,http://www.redfin.com/CA/San-Francisco/188-Minna-St-94105/unit-00029C/home/12330687,San Francisco MLS,446861,N,Y,37.78629,-122.401375
MLS Listing,,Condo/Co-op,425 1st St #5302,San Francisco,CA,94105,2998000,2,2.5,South Beach,1971,,2008,52,1521,1072,Active,,,http://www.redfin.com/CA/San-Francisco/425-1st-St-94105/unit-5302/home/17304854,San Francisco MLS,456187,N,Y,37.7861411,-122.392459
MLS Listing,,Condo/Co-op,1635-1637 Chestnut St,San Francisco,CA,94123,2999000,5,2,Marina,2420,,1924,13,1239,,Active,,,http://www.redfin.com/CA/San-Francisco/1637-Chestnut-St-94123/home/1089227,San Francisco MLS,457842,N,Y,37.8013909,-122.4302712
MLS Listing,,Single Family Residential,440 11th Ave,San Francisco,CA,94118,2999000,5,4,Inner Richmond,3158,3000,1906,33,950,,Active,,,http://www.redfin.com/CA/San-Francisco/440-11th-Ave-94118/home/614563,San Francisco MLS,457017,N,Y,37.779979,-122.4693653
MLS Listing,,Condo/Co-op,401 Harrison St Unit 43D,San Francisco,CA,94105,3075000,2,2,South Beach,1252,,2014,97,2456,1241,Active,,,http://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-43D/home/113105173,San Francisco MLS,454337,N,Y,37.7865463,-122.3920492
New Construction Plan,,Condo/Co-op,Residence 8,San Francisco,CA,94105,3085000,3,3,LUMINA,1780,,,,1733,,Active,,,http://www.redfin.com/CA/San-Francisco/LUMINA/Residence-8/home/109071580,NewHomeFeed,Plan-321152,N,Y,37.7886997,-122.39226
MLS Listing,,Single Family Residential,9 Clarendon Ave,San Francisco,CA,94114,3090000,3,3,Clarendon Heights,4210,3203,1996,123,734,,Active,,,http://www.redfin.com/CA/San-Francisco/9-Clarendon-Ave-94114/home/1446231,San Francisco MLS,453801,N,Y,37.7586961,-122.4494443
MLS Listing,,Single Family Residential,4055 Cesar Chavez,SAN FRANCISCO,CA,94131,3100000,4,4,SAN FRANCISCO,2600,2278,1910,61,1192,,Active,,,http://www.redfin.com/CA/San-Francisco/4055-Cesar-Chavez-St-94131/home/1310885,MLSListings,ML81643359,N,Y,37.747248,-122.430459
MLS Listing,,Condo/Co-op,2121 Webster St #603,San Francisco,CA,94115,3150000,2,2,Pacific Heights,1325,,2016,44,2377,1123,Active,,,http://www.redfin.com/CA/San-Francisco/2121-Webster-St-94115/unit-603/home/113689128,San Francisco MLS,456683,N,Y,37.7902213,-122.4329717
